,title,release_date,original_language,genres,budget,revenue,runtime,year
509,Love Again,2023-05-04,en,Romance-Drama-Comedy,9000000.0,10000000.0,104.0,2023
511,May December,2023-11-16,en,Drama-Comedy,20000000.0,223505.0,117.0,2023
512,The Lion King,1994-06-24,en,Family-Animation-Drama,45000000.0,763455561.0,89.0,1994
513,Thor: The Dark World,2013-10-30,en,Action-Adventure-Fantasy,170000000.0,644571402.0,112.0,2013
515,Eternals,2021-11-03,en,Science Fiction-Action-Adventure,200000000.0,402064899.0,156.0,2021
516,Air,2023-04-05,en,Drama-History,90000000.0,87078875.0,112.0,2023
521,Everything Everywhere All at Once,2022-03-24,en,Action-Adventure-Science Fiction,25000000.0,139200000.0,140.0,2022
522,Mean Girls,2004-04-30,en,Comedy,17000000.0,130100000.0,97.0,2004
523,Finding Nemo,2003-05-30,en,Animation-Family,94000000.0,940335536.0,100.0,2003
526,Mothers' Instinct,2024-01-11,en,Thriller-Drama,0.0,1606319.0,94.0,2024
529,Toy Story,1995-10-30,en,Animation-Adventure-Family-Comedy,30000000.0,373554033.0,81.0,1995
530,Godzilla vs. Kong,2021-03-24,en,Action-Science Fiction-Adventure,200000000.0,470116094.0,114.0,2021
531,Real Steel,2011-09-28,en,Action-Science Fiction-Drama,110000000.0,299268508.0,127.0,2011
533,Ratatouille,2007-06-28,en,Animation-Comedy-Family-Fantasy,150000000.0,623726000.0,111.0,2007
